top_traffic_accident_offense,lon,lat,district_id,datetime,date,time,injured,road_description_binned,light_condition_binned,road_condition_binned,tu1_vehicle_type_binned,tu2_vehicle_type_binned,tu1_human_fac_binned,tu2_human_fac_binned,tu1_driver_action_binned,tu2_driver_action_binned,tu1_vehicle_size,tu2_vehicle_size,vehicle_type_match,vehicle_size_diff,abs_vehicle_size_diff,vehicle_size_relation,smaller_vehicle_action,larger_vehicle_action,day_of_week,weekend,weekday,month,hour,is_night,morning_rush,evening_rush,incident_address_clean,is_highway,direction_conflict,index_right,speed_limit,road_name,distance_to_road_m,road_join_quality,road_match_ok,speed_limit_missing,speed_limit_category
TRAF - ACCIDENT               ,-104.94729853,39.72733443,2,2023-11-26 11:58:00.000007152,2023-11-26,11:58:00,False,intersection,daylight,dry,suv,suv,distracted,no_apparent,failure_to_yield_or_obey_control,no_action,3,3,same,0,0,same_size,same_size,same_size,6,True,False,11,11,False,False,False,n cook st / e 7th ave,False,crossing_or_perpendicular,15145,25,N COOK ST,0.003950882619875817,excellent,True,False,low
TRAF - ACCIDENT - HIT & RUN   ,-104.89928581,39.63865521,3,2016-05-08 15:49:59.999982121,2016-05-08,15:49:59,False,intersection,daylight,dry,other,pickup_or_utility_van,no_apparent,no_apparent,other_or_invalid,other_or_invalid,,3,different,,,unknown,unknown,unknown,6,True,False,5,15,False,False,False,e quincy ave / s syracuse st,False,crossing_or_perpendicular,19005,25,S SYRACUSE ST,0.013490040909087037,excellent,True,False,low
TRAF - ACCIDENT               ,-104.91288204,39.77840814,2,2014-10-30 09:07:00.000015196,2014-10-30,09:07:00,False,interchange,daylight,dry,passenger,pickup_or_utility_van,no_apparent,no_apparent,careless_or_loss_of_control,other_or_invalid,2,3,different,-1,1,vehicle_2_larger,careless_or_loss_of_control,other_or_invalid,3,False,True,10,9,False,False,False,i70 hwywb / n monaco st,True,same_direction,29349,30,N MONACO ST,0.2258811047851494,excellent,True,False,medium
TRAF - ACCIDENT - HIT & RUN   ,-104.91287772,39.67485287,3,2018-12-21 15:59:59.999986584,2018-12-21,15:59:59,False,non_intersection,daylight,dry,passenger,suv,no_apparent,no_apparent,careless_or_loss_of_control,no_action,2,3,different,-1,1,vehicle_2_larger,careless_or_loss_of_control,no_action,4,False,True,12,15,False,False,False,s monaco st / e iliff ave,False,same_direction,23256,35,S MONACO STREET PKWY,0.08241013518915243,excellent,True,False,medium
TRAF - ACCIDENT               ,-105.01271896,39.75512835,1,2020-03-05 15:25:59.999987484,2020-03-05,15:25:59,False,non_intersection,daylight,dry,passenger,suv,distracted,no_apparent,careless_or_loss_of_control,no_action,2,3,different,-1,1,vehicle_2_larger,careless_or_loss_of_control,no_action,3,False,True,3,15,False,False,False,i25 hwynb / n speer blvd,True,same_direction,1710,55,INTERSTATE 25,0.127392326392102,excellent,True,False,high
TRAF - ACCIDENT               ,-104.94100274,39.76918373,2,2015-01-29 12:32:00.000006262,2015-01-29,12:32:00,False,intersection,daylight,dry,suv,passenger,impairment,no_apparent,careless_or_loss_of_control,other_or_invalid,3,2,different,1,1,vehicle_1_larger,other_or_invalid,careless_or_loss_of_control,3,False,True,1,12,False,False,False,e 38th ave / n colorado blvd,False,same_direction,24935,25,E 38TH AVE,0.07559054417967362,excellent,True,False,low
TRAF - ACCIDENT               ,-104.94171471,39.6677182,3,2025-11-07 13:23:59.999981222,2025-11-07,13:23:59,False,parking_lat,daylight,dry,passenger,passenger,inexperience_or_unfamiliar,no_apparent,careless_or_loss_of_control,no_action,2,2,same,0,0,same_size,same_size,same_size,4,False,True,11,13,False,False,False,3901 e yale ave,False,same_direction,5196,25,E YALE AVE,17.681164044706737,good,True,False,low
TRAF - ACCIDENT               ,-104.95272031,39.74010611,2,2019-10-16 13:59:00.000016987,2019-10-16,13:59:00,False,non_intersection,daylight,dry,suv,heavy_or_special_vehicle,inexperience_or_unfamiliar,unknown_or_not_observed,lane_or_passing,other_or_invalid,3,5,different,-2,2,vehicle_2_larger,lane_or_passing,other_or_invalid,2,False,True,10,13,False,False,False,2900 block e colfax ave,False,same_direction,23365,30,E COLFAX AVE,7.704327370876101,excellent,True,False,medium
TRAF - ACCIDENT               ,-104.98739352,39.73684989,6,2023-01-04 12:14:59.999986584,2023-01-04,12:14:59,False,intersection,daylight,dry,passenger,passenger,did_not_see,no_apparent,failure_to_yield_or_obey_control,no_action,2,2,same,0,0,same_size,same_size,same_size,2,False,True,1,12,False,False,False,w 13th ave / n broadway st,False,crossing_or_perpendicular,13108,30,N BROADWAY,8.413962931018764e-05,excellent,True,False,medium
TRAF - ACCIDENT               ,-104.89673779,39.68933245,3,2015-06-09 15:38:59.999981222,2015-06-09,15:38:59,False,intersection,daylight,dry,other,passenger,distracted,no_apparent,failure_to_yield_or_obey_control,other_or_invalid,,2,different,,,unknown,unknown,unknown,1,False,True,6,15,False,False,False,e florida ave / s quebec way,False,crossing_or_perpendicular,7432,25,E FLORIDA AVE,0.11349002185664063,excellent,True,False,low
TRAF - ACCIDENT               ,-105.0047662,39.7611594,1,2018-07-28 16:09:59.999991056,2018-07-28,16:09:59,False,intersection,daylight,dry,suv,motorcycle_or_autocycle,no_apparent,no_apparent,failure_to_yield_or_obey_control,no_action,3,1,different,2,2,vehicle_1_larger,no_action,failure_to_yield_or_obey_control,5,True,False,7,16,False,False,False,20th st / i25 hwysb,True,opposite_direction,27789,55,INTERSTATE 25,0.04859927700636473,excellent,True,False,high
TRAF - ACCIDENT - HIT & RUN   ,-105.03461031,39.7621377,1,2016-03-09 10:22:59.999984803,2016-03-09,10:22:59,False,non_intersection,daylight,dry,pickup_or_utility_van,passenger,inexperience_or_unfamiliar,unknown,careless_or_loss_of_control,other_or_invalid,3,2,different,1,1,vehicle_1_larger,other_or_invalid,careless_or_loss_of_control,2,False,True,3,10,False,False,False,w 32nd ave / n lowell blvd,False,unknown,12736,30,W 32ND AVE,0.15072972109561367,excellent,True,False,medium
