top_traffic_accident_offense,first_occurrence_date,incident_address,lon,lat,road_description,road_condition,light_condition,datetime,date,time,injured,tu1_vehicle_type_binned,tu2_vehicle_type_binned,tu1_driver_action_binned,tu2_driver_action_binned,tu1_human_factor_binned,tu2_human_factor_binned,vehicle_type_match,tu1_vehicle_size,tu2_vehicle_size,vehicle_size_diff,abs_vehicle_size_diff,vehicle_size_relation,smaller_vehicle_action,larger_vehicle_action,day_of_week,weekend,weekday,month,hour,is_night,morning_rush,evening_rush,same_driver_action,any_unknown_vehicle,any_aggressive_or_careless,any_failure_to_yield,any_unknown_human_factor,incident_address_clean,is_highway,index_right,speed_limit,road_name,distance_to_road_m,road_join_quality,road_match_ok,speed_limit_missing,speed_limit_category
TRAF - ACCIDENT - DUI/DUID    ,2458408.4930555555,S SHERMAN ST / E VIRGINIA AVE,-104.9851625,39.70750952,at intersection,dry,dark-lighted,2018-10-16 23:49:59.999995528,2018-10-16,23:49:59,False,passenger_car_or_van,pickup_or_utility_van,no_action,no_action,impairment,other,different,2,3,-1,1,vehicle_2_larger,no_action,no_action,1,False,True,10,23,True,False,False,True,False,False,False,False,s sherman st / e virginia ave,False,11571,25.0,S SHERMAN ST,0.0015207219866778755,excellent,True,False,low
TRAF - ACCIDENT - HIT & RUN   ,2458698.9791666665,W DENVER PL / N FEDERAL BLVD,-105.02523959,39.77022068,,,,2019-08-03 11:29:59.999986584,2019-08-03,11:29:59,False,other,other,other,other,other,other,same,,,,,unknown,unknown,unknown,5,True,False,8,11,False,False,False,True,False,False,False,False,w denver pl / n federal blvd,False,11475,35.0,N FEDERAL BLVD,0.15336091183941453,excellent,True,False,medium
TRAF - ACCIDENT - HIT & RUN   ,2460921.0222222223,10 BLOCK E 11TH AVE,-104.98709236,39.73378485,non-intersection,dry,daylight,2025-09-02 12:32:00.000006262,2025-09-02,12:32:00,False,unknown,passenger_car_or_van,aggressive_or_careless,no_action,unknown,no_apparent,unknown,,2,,,unknown,unknown,unknown,1,False,True,9,12,False,False,False,False,True,True,False,True,10 block e 11th ave,False,9125,25.0,E 11TH AVE,7.712437995289503,excellent,True,False,low
TRAF - ACCIDENT - HIT & RUN   ,2457883.0569444443,I70 HWYEB / I225 HWYSB,-104.83383455,39.77286751,non intersection,dry,daylight,2017-05-09 13:21:59.999988375,2017-05-09,13:21:59,False,suv,unknown,other,no_action,no_apparent,no_apparent,unknown,3,,,,unknown,unknown,unknown,1,False,True,5,13,False,False,False,False,True,False,False,False,i70 hwyeb / i225 hwysb,True,11937,55.0,INTERSTATE 70,0.30262670315561724,excellent,True,False,high
TRAF - ACCIDENT - HIT & RUN   ,2456772.160416667,N SPEER BLVD / N FEDERAL BLVD,-105.02523593,39.76025546,at intersection,,daylight,2014-04-24 15:51:00.000018777,2014-04-24,15:51:00,False,unknown,passenger_car_or_van,failure_to_yield,other,other,no_apparent,unknown,,2,,,unknown,unknown,unknown,3,False,True,4,15,False,False,False,False,True,False,True,False,n speer blvd / n federal blvd,False,5426,35.0,N FEDERAL BLVD,0.0016628381488400293,excellent,True,False,medium
TRAF - ACCIDENT - DUI/DUID    ,2456713.4895833335,N FEDERAL BLVD / W 27TH AVE,-105.02515439,39.75601373,non intersection,dry,dark-lighted,2014-02-24 23:45:00.000013415,2014-02-24,23:45:00,False,pickup_or_utility_van,unknown,aggressive_or_careless,unknown,impairment,unknown,unknown,3,,,,unknown,unknown,unknown,0,False,True,2,23,True,False,False,False,True,True,False,True,n federal blvd / w 27th ave,False,14195,35.0,N FEDERAL BLVD,0.2402581695401421,excellent,True,False,medium
TRAF - ACCIDENT - HIT & RUN   ,2458243.322222222,445 N FEDERAL BLVD,-105.02548703,39.72367864,parking lot,dry,daylight,2018-05-04 19:43:59.999990165,2018-05-04,19:43:59,False,pickup_or_utility_van,passenger_car_or_van,no_action,no_action,no_apparent,no_apparent,different,3,2,1,1,vehicle_1_larger,no_action,no_action,4,False,True,5,19,False,False,False,True,False,False,False,False,445 n federal blvd,False,15424,35.0,N FEDERAL BLVD,25.54035527512147,okay,True,False,medium
TRAF - ACCIDENT - DUI/DUID    ,2458539.420138889,E 17TH AVE / N YORK ST,-104.95949453,39.74194106,at intersection,dry,dark-lighted,2019-02-24 22:05:00.000008943,2019-02-24,22:05:00,False,passenger_car_or_van,passenger_car_or_van,aggressive_or_careless,no_action,impairment,no_apparent,same,2,2,0,0,same_size,same_size,same_size,6,True,False,2,22,True,False,False,False,False,True,False,False,e 17th ave / n york st,False,29681,30.0,N YORK ST,24.30841481768163,good,True,False,medium
TRAF - ACCIDENT               ,2456552.9743055557,1100 BLOCK E ARKANSAS AVE,-104.97422189,39.6909618,alley related,dry,daylight,2013-09-17 11:23:00.000011624,2013-09-17,11:23:00,False,suv,suv,failure_to_yield,other,aggressive_or_evading,no_apparent,same,3,3,0,0,same_size,same_size,same_size,1,False,True,9,11,False,False,False,False,False,False,True,False,1100 block e arkansas ave,False,3232,25.0,E ARKANSAS AVE,19.888336242035066,good,True,False,low
TRAF - ACCIDENT               ,2458466.8506944445,I70 HWYEB / N NORTHFIELD QUEBEC ST,-104.90356828,39.77830093,non intersection,dry,daylight,2018-12-14 08:25:00.000004471,2018-12-14,08:25:00,False,heavy_truck,passenger_car_or_van,aggressive_or_careless,no_action,other,no_apparent,different,,2,,,unknown,unknown,unknown,4,False,True,12,8,False,True,False,False,False,True,False,False,i70 hwyeb / n northfield quebec st,True,29353,40.0,N NORTHFIELD QUEBEC ST,5.470895327155929,excellent,True,False,medium_high
TRAF - ACCIDENT - HIT & RUN   ,2457340.017361111,S FEDERAL BLVD / W MISSISSIPPI AVE,-105.02506144,39.69674562,intersection related,dry,daylight,2015-11-13 12:24:59.999991056,2015-11-13,12:24:59,False,unknown,passenger_car_or_van,unknown,aggressive_or_careless,unknown,no_apparent,unknown,,2,,,unknown,unknown,unknown,4,False,True,11,12,False,False,False,False,True,True,False,True,s federal blvd / w mississippi ave,False,23926,25.0,W MISSISSIPPI AVE,0.18369223816073832,excellent,True,False,low
TRAF - ACCIDENT - HIT & RUN   ,2458758.2708333335,855 S BROADWAY ST,-104.9875652,39.70069793,parking lot,dry,daylight,2019-10-01 18:30:00.000013415,2019-10-01,18:30:00,False,pickup_or_utility_van,passenger_car_or_van,turning_or_backing,no_action,no_apparent,no_apparent,different,3,2,1,1,vehicle_1_larger,no_action,turning_or_backing,1,False,True,10,18,False,False,True,False,False,False,False,False,855 s broadway st,False,15060,30.0,S BROADWAY,7.868933992620162,excellent,True,False,medium
TRAF - ACCIDENT               ,2460904.347916667,400 BLOCK S ELIOT ST,-105.02353785,39.70916467,non-intersection,dry,dawnordusk,2025-08-16 20:21:00.000018777,2025-08-16,20:21:00,False,passenger_car_or_van,passenger_car_or_van,aggressive_or_careless,no_action,unknown,unknown,same,2,2,0,0,same_size,same_size,same_size,5,True,False,8,20,True,False,False,False,False,True,False,True,400 block s eliot st,False,15835,25.0,W DAKOTA AVE,16.95078435317744,good,True,False,low
TRAF - ACCIDENT               ,2457639.840277778,I25 HWYNB / I70 HWYEB,-104.98919465,39.78004322,non intersection,dry,daylight,2016-09-08 08:10:00.000017878,2016-09-08,08:10:00,False,pickup_or_utility_van,passenger_car_or_van,other,no_action,aggressive_or_evading,no_apparent,different,3,2,1,1,vehicle_1_larger,no_action,other,3,False,True,9,8,False,True,False,False,False,False,False,False,i25 hwynb / i70 hwyeb,True,29264,55.0,INTERSTATE 25,0.02830901148309369,excellent,True,False,high
TRAF - ACCIDENT - HIT & RUN   ,2457175.1944444445,500 BLOCK N FEDERAL BLVD,-105.02377556,39.72441569,non intersection,dry,daylight,2015-06-01 16:40:00.000004471,2015-06-01,16:40:00,False,passenger_car_or_van,suv,unknown,other,unknown,no_apparent,different,2,3,-1,1,vehicle_2_larger,unknown,other,0,False,True,6,16,False,False,True,False,False,False,False,True,500 block n federal blvd,False,28022,25.0,FEDERAL TO EB 6TH RAMP,81.02420436173888,weak,False,False,low
TRAF - ACCIDENT - HIT & RUN   ,2459077.1159722223,I25 HWYSB / E HAMPDEN AVE,-104.91845106,39.65307972,non intersection,dry,daylight,2020-08-15 14:47:00.000006262,2020-08-15,14:47:00,False,suv,suv,lane_or_position,no_action,aggressive_or_evading,no_apparent,same,3,3,0,0,same_size,same_size,same_size,5,True,False,8,14,False,False,False,False,False,False,False,False,i25 hwysb / e hampden ave,True,27351,40.0,E HAMPDEN AVE,0.06689005225873777,excellent,True,False,medium_high
TRAF - ACCIDENT               ,2457505.011805556,E NORTHFIELD BLVD / N UINTA ST,-104.89320279,39.78543226,at intersection,dry,daylight,2016-04-26 12:17:00.000019668,2016-04-26,12:17:00,False,passenger_car_or_van,suv,failure_to_yield,other,no_apparent,no_apparent,different,2,3,-1,1,vehicle_2_larger,failure_to_yield,other,1,False,True,4,12,False,False,False,False,False,False,True,False,e northfield blvd / n uinta st,False,104,25.0,PRIVATE RD,0.174439271394307,excellent,True,False,low
TRAF - ACCIDENT - POLICE      ,2457103.502083333,MORRISON RD / W ALAMEDA AVE,-105.03245641,39.71121001,at intersection,dry,dark-lighted,2015-03-22 00:02:59.999989274,2015-03-22,00:02:59,False,suv,suv,aggressive_or_careless,other,impairment,no_apparent,same,3,3,0,0,same_size,same_size,same_size,6,True,False,3,0,True,False,False,False,False,True,False,False,morrison rd / w alameda ave,False,13653,30.0,MORRISON RD,0.0036193933573875174,excellent,True,False,medium
